addr_full,brand,brand_wikidata,city,country,email,extras,housenumber,lat,lon,name,opening_hours,phone,postcode,ref,state,store_url,street,website
"Екатеринбург, Космонавтов, 102",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,56.9127, 60.6128,,,,,84,,,,https://www.gpnbonus.ru/
"Санкт-Петербург, Таллинское, 151, 1",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,59.810, 30.1686,,,,,85,,,,https://www.gpnbonus.ru/
"Ярославль, Шевелюха,117А",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,57.6670, 39.9068,,,,,86,,,,https://www.gpnbonus.ru/
"Москва, МКАД, 6 (46 км)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.6546, 37.4417,,,,,87,,,,https://www.gpnbonus.ru/
"Турсунзаде, Мехнат 11 (9 мкр.)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,38.5210, 68.2309,,,,,88,,,,https://www.gpnbonus.ru/
"Новосибирск, Декабристов, 271",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.9988, 82.9775,,,,,89,,,,https://www.gpnbonus.ru/
"Кемерово, Стройгородок, 1, 3",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.4197, 86.0433,,,,,90,,,,https://www.gpnbonus.ru/
"Омск, Красноярский тракт, 22",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.0498, 73.3287,,,,,91,,,,https://www.gpnbonus.ru/
"Ивановская, Р251 (Рыночная, 1А)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,45.2746, 38.4322,,,,,92,,,,https://www.gpnbonus.ru/
"Нур-Султан, Коргалжинское, 35",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,51.1493, 71.3590,,,,,93,,,,https://www.gpnbonus.ru/
